codemp;saf;descrip;claveseg;codtipo;excep;safcentral;cuit;calle;nro;codsicore;empresue;activo;caracter;jur
28;28;"nulo";M28;1;;28;;;;999;;1;1;28
201;201;Instit. Autárquico de Colonización y Fomento Rural;BIA;1;;201;30-67050976-8;;;999;;1;2;20
6;6;Contaduría General de la Provincia;CON;1;1;6;30-67049620-8;25 de Mayo;550;999;MA;1;1;6
80;80;Ministerio de Turismo y Areas Protegidas;COT;1;;80;30-70749563-0;;0;999;;1;1;80
51;50;MINIST. DE EDUC. PERSONAL AUXILIAR;DPA;1;;50;30-99915793-5;9 de Julio;24;999;;1;1;50
27;27;Escribanía General de Gobierno;EGG;1;;27;30-71057002-3;;;999;;1;1;20
39;31;Subse. de Serv. Públicos. Energía No Convenciona;ENC;1;;31;30-99915496-0;;;999;;1;1;8
304;304;ENRE;ENR;1;;304;30-67049620-8;;;999;;1;1;8
5;5;Fiscalía de Estado;FIS;1;1;5;30-69105636-4;25 de Mayo;550;999;QA;1;1;5
101;101;UEP-MAGIC   Ex Corfo;GCO;1;;101;33-99915779-9;;;999;;1;1;67
52;50;MINIST. DE EDUC- HS. CAT POLIMODAL Y SUP.;HSC;1;;50;30-99915793-5;9 de Julio;24;999;;1;1;50
57;50;MINIST. EDUC. HS CORO Y ORQUESTA;HSE;1;;50;30-99915793-5;;;999;;1;1;50
59;50;MINIST.EDUC HS.FINES;HSF;1;;50;30-99915793-5;;;999;;1;1;50
58;50;MINIST. EDUC. HS. TECNICAS;HST;1;;50;30-99915793-5;;;999;;1;1;50
1010;1010;COMUNAS RURALES;HTU;1;;1010;;;;1010;;1;8;
302;302;Instit. Provincial de la Vivienda y Des. Urbano;IVI;1;;302;30-99922214-1;;;999;;1;2;8
20;20;Ministerio de Gobierno y Justicia;JMG;1;;20;30-67049460-4;Berwin;387;999;;1;1;20
9;9;Ministerio de Seguridad;JSS;1;;9;30-71301990-5;;;999;;1;1;9
15;15;Secretaría de Trabajo;JST;1;;15;30-67051108-8;;;999;;1;1;15
31;31;Subsecretaría de Servicios Públicos;LEC;1;;31;30-99915496-0;;;999;;1;1;8
14;14;Secretaría de Cultura;M14;1;;14;33-67049583-9;Fontana;50;999;;1;1;14
11;11;Casa del Chubut;M20;1;;11;30-70828855-8;;;999;;1;1;10
23;23;Unidad Gobernador;M23;1;;23;30-71218010-9;;;999;;1;1;10
24;24;Sec. de Planeamiento Estratégico  y Desarrollo;M24;1;;24;30-71218173-3;;;999;;1;1;24
26;26;Secretaría de Gestión Pública y Modern. del Estado;	M26;1;;26;30716747170;;;999;;1;1;26
66;66;Sec. Ciencia, Tecnología e Innovación Produc;M66;1;;66;30-71118557-3;;;999;;1;1;66
